Scores,Indicators
22.43,B.3.4 Hazardous Chemicals
34.16,B.3.4 Hazardous Chemicals
33.05,B.3.4 Hazardous Chemicals
29.18,B.3.4 Hazardous Chemicals
53.26,B.3.4 Hazardous Chemicals
61.75,B.3.4 Hazardous Chemicals
55.19,B.3.4 Hazardous Chemicals
53.24,B.3.4 Hazardous Chemicals
50.88,B.3.4 Hazardous Chemicals
26.18,B.3.4 Hazardous Chemicals
39.89,B.3.4 Hazardous Chemicals
25.01,B.3.4 Hazardous Chemicals
43.31,B.3.4 Hazardous Chemicals
44.94,B.3.4 Hazardous Chemicals
21.93,B.3.4 Hazardous Chemicals
78.63,B.3.4 Hazardous Chemicals
58.79,B.3.4 Hazardous Chemicals
60.45,B.3.4 Hazardous Chemicals
38.75,B.3.4 Hazardous Chemicals
66.95,B.3.4 Hazardous Chemicals
70.3,B.3.4 Hazardous Chemicals
27.82,B.3.4 Hazardous Chemicals
32.9,B.3.4 Hazardous Chemicals
75.85,B.3.4 Hazardous Chemicals
75.2,B.3.4 Hazardous Chemicals
21.27,B.3.4 Hazardous Chemicals
22.74,B.3.4 Hazardous Chemicals
39.02,B.3.4 Hazardous Chemicals
27.43,B.3.4 Hazardous Chemicals
27.36,B.3.4 Hazardous Chemicals
48.63,B.3.4 Hazardous Chemicals
52.93,B.3.4 Hazardous Chemicals
51.07,B.3.4 Hazardous Chemicals
35.26,B.3.4 Hazardous Chemicals
27.03,B.3.4 Hazardous Chemicals
42.46,B.3.4 Hazardous Chemicals
60.28,B.3.4 Hazardous Chemicals
74.91,B.3.4 Hazardous Chemicals
69.77,B.3.4 Hazardous Chemicals
30.68,B.3.4 Hazardous Chemicals
28.94,B.3.4 Hazardous Chemicals
20.76,B.3.4 Hazardous Chemicals
16,B.3.4 Hazardous Chemicals
21,B.3.4 Hazardous Chemicals
51.13,B.3.5 Environmental biodiversity 
53.43,B.3.5 Environmental biodiversity 
54.4,B.3.5 Environmental biodiversity 
48.17,B.3.5 Environmental biodiversity
53.13,B.3.5 Environmental biodiversity
67.03,B.3.5 Environmental biodiversity
67.7,B.3.5 Environmental biodiversity
50.7,B.3.5 Environmental biodiversity
50.99,B.3.5 Environmental biodiversity
47.37,B.3.5 Environmental biodiversity
57.37,B.3.5 Environmental biodiversity
57.97,B.3.5 Environmental biodiversity
58.13,B.3.5 Environmental biodiversity
63.9,B.3.5 Environmental biodiversity
60.87,B.3.5 Environmental biodiversity
66.53,B.3.5 Environmental biodiversity
63.77,B.3.5 Environmental biodiversity
79.73,B.3.5 Environmental biodiversity
53.43,B.3.5 Environmental biodiversity
52.48,B.3.5 Environmental biodiversity
55.13,B.3.5 Environmental biodiversity
57.9,B.3.5 Environmental biodiversity
54.83,B.3.5 Environmental biodiversity
39.94,B.3.5 Environmental biodiversity
35.5,B.3.5 Environmental biodiversity
58.6,B.3.5 Environmental biodiversity
64.13,B.3.5 Environmental biodiversity
66.03,B.3.5 Environmental biodiversity
59.17,B.3.5 Environmental biodiversity
62.87,B.3.5 Environmental biodiversity
50,B.3.5 Environmental biodiversity
59.17,B.3.5 Environmental biodiversity
57.47,B.3.5 Environmental biodiversity
42.33,B.3.5 Environmental biodiversity
58.67,B.3.5 Environmental biodiversity
59.77,B.3.5 Environmental biodiversity
45.26,B.3.5 Environmental biodiversity
61.77,B.3.5 Environmental biodiversity
59.9,B.3.5 Environmental biodiversity
57.6,B.3.5 Environmental biodiversity
49.43,B.3.5 Environmental biodiversity
56.87,B.3.5 Environmental biodiversity
61.57,B.3.5 Environmental biodiversity
56.67,B.3.5 Environmental biodiversity
59.43,B.3.5 Environmental biodiversity
55.6,B.3.5 Environmental biodiversity
54.6,B.3.5 Environmental biodiversity
60.87,B.3.5 Environmental biodiversity
66.27,B.3.5 Environmental biodiversity
57.2,B.3.5 Environmental biodiversity
62.7,B.3.5 Environmental biodiversity
57.23,B.3.5 Environmental biodiversity
53,B.3.5 Environmental biodiversity
50.63,B.3.5 Environmental biodiversity
41.97,B.3.5 Environmental biodiversity
52.13,B.3.5 Environmental biodiversity
76.37,B.3.5 Environmental biodiversity
46.97,B.3.5 Environmental biodiversity
44.4,B.3.5 Environmental biodiversity
55.7,B.3.5 Environmental biodiversity
56.77,B.3.5 Environmental biodiversity
61.87,B.3.5 Environmental biodiversity
46.67,B.3.5 Environmental biodiversity
56.53,B.3.5 Environmental biodiversity
51.27,B.3.5 Environmental biodiversity
57,B.3.5 Environmental biodiversity
55.47,B.3.5 Environmental biodiversity
56,B.3.5 Environmental biodiversity
57.57,B.3.5 Environmental biodiversity
31.2,B.3.5 Environmental biodiversity
55.73,B.3.5 Environmental biodiversity
44.1,B.3.5 Environmental biodiversity
49.47,B.3.5 Environmental biodiversity
38.8,B.3.5 Environmental biodiversity
55.51,B.3.5 Environmental biodiversity
59.2,B.3.5 Environmental biodiversity
68.3,B.3.5 Environmental biodiversity
21.37,B.3.5 Environmental biodiversity
61.53,B.3.5 Environmental biodiversity
23.9,B.3.5 Environmental biodiversity
58.77,B.3.5 Environmental biodiversity
43.73,B.3.5 Environmental biodiversity
59.03,B.3.5 Environmental biodiversity
33.36,B.3.5 Environmental biodiversity
48.67,B.3.5 Environmental biodiversity
45.1,B.3.5 Environmental biodiversity
61.53,B.3.5 Environmental biodiversity
56.37,B.3.5 Environmental biodiversity
59.2,B.3.5 Environmental biodiversity
65.63,B.3.5 Environmental biodiversity
46.47,B.3.5 Environmental biodiversity
79.33,B.3.5 Environmental biodiversity
57.53,B.3.5 Environmental biodiversity
52.1,B.3.5 Environmental biodiversity
64.97,B.3.5 Environmental biodiversity
39.1,B.3.5 Environmental biodiversity
63.07,B.3.5 Environmental biodiversity
55.53,B.3.5 Environmental biodiversity
53.17,B.3.5 Environmental biodiversity
70.57,B.3.5 Environmental biodiversity
60.03,B.3.5 Environmental biodiversity
50.4,B.3.5 Environmental biodiversity
62.07,B.3.5 Environmental biodiversity
27.77,B.3.5 Environmental biodiversity
63.17,B.3.5 Environmental biodiversity
38.03,B.3.5 Environmental biodiversity
63.23,B.3.5 Environmental biodiversity
