Scores,Indicators
32.88,B.2.4 Animal Biodiversity
8.07,B.2.4 Animal Biodiversity
52.12,B.2.4 Animal Biodiversity
50.33,B.2.4 Animal Biodiversity
35.83,B.2.4 Animal Biodiversity
32.23,B.2.4 Animal Biodiversity
42.16,B.2.4 Animal Biodiversity
27.35,B.2.4 Animal Biodiversity
50.97,B.2.4 Animal Biodiversity
45.45,B.2.4 Animal Biodiversity
44.39,B.2.4 Animal Biodiversity
43.72,B.2.4 Animal Biodiversity
22.9,B.2.4 Animal Biodiversity
51.03,B.2.4 Animal Biodiversity
50.95,B.2.4 Animal Biodiversity
21.33,B.2.4 Animal Biodiversity
23.67,B.2.4 Animal Biodiversity
56.94,B.2.4 Animal Biodiversity
52.1,B.2.4 Animal Biodiversity
41.06,B.2.4 Animal Biodiversity
23.13,B.2.4 Animal Biodiversity
39.26,B.2.4 Animal Biodiversity
30.01,B.2.4 Animal Biodiversity
53.39,B.2.4 Animal Biodiversity
49.69,B.2.4 Animal Biodiversity
49.18,B.2.4 Animal Biodiversity
57.67,B.2.4 Animal Biodiversity
41.68,B.2.4 Animal Biodiversity
54.71,B.2.4 Animal Biodiversity
45.25,B.2.4 Animal Biodiversity
48.6,B.2.4 Animal Biodiversity
27.08,B.2.4 Animal Biodiversity
22.12,B.2.4 Animal Biodiversity
20,B.2.4 Animal Biodiversity
51.54,B.2.4 Animal Biodiversity
56.31,B.2.4 Animal Biodiversity
42.07,B.2.4 Animal Biodiversity
49.5,B.2.4 Animal Biodiversity
50.69,B.2.4 Animal Biodiversity
49.77,B.2.4 Animal Biodiversity
52.94,B.2.4 Animal Biodiversity
36.41,B.2.4 Animal Biodiversity
37.22,B.2.4 Animal Biodiversity
36.97,B.2.4 Animal Biodiversity
11.82,B.2.4 Animal Biodiversity
6.44,B.2.4 Animal Biodiversity
49.64,B.2.4 Animal Biodiversity
22.5,B.2.4 Animal Biodiversity
35.38,B.2.4 Animal Biodiversity
