"code","iso","country","CXN.raw.1970","CXN.raw.1980","CXN.raw.1989","CXN.raw.1990","CXN.raw.1991","CXN.raw.1992","CXN.raw.1993","CXN.raw.1994","CXN.raw.1995","CXN.raw.1996","CXN.raw.1997","CXN.raw.1998","CXN.raw.1999","CXN.raw.2000","CXN.raw.2001","CXN.raw.2002","CXN.raw.2003","CXN.raw.2004","CXN.raw.2005","CXN.raw.2006","CXN.raw.2007","CXN.raw.2008","CXN.raw.2009","CXN.raw.2010","CXN.raw.2011","CXN.raw.2012","CXN.raw.2013","CXN.raw.2014","CXN.raw.2015","CXN.raw.2016","CXN.raw.2017","CXN.mry"
268,"GEO","Georgia",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.8,-9999,-9999,-9999,-9999,-9999,-9999,0.8
276,"DEU","Germany",-9999,-9999,-9999,-9999,0.871,-9999,-9999,-9999,0.886,-9999,-9999,-9999,-9999,-9999,0.974,-9999,-9999,0.979,0.973,-9999,0.999,-9999,-9999,1,1,1,1,-9999,-9999,-9999,-9999,1
288,"GHA","Ghana",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.07,-9999,-9999,-9999,-9999,0.07
300,"GRC","Greece",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.85,-9999,0.873,0.873,0.881,-9999,0.928,0.928,-9999,-9999,-9999,0.928
304,"GRL","Greenland",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
308,"GRD","Grenada",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0952326387329252
320,"GTM","Guatemala",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.34,-9999,-9999,-9999,-9999,-9999,-9999,0.34
831,"GGY","Guernsey",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
324,"GIN","Guinea",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.1,0.1,0.1,0.11,0.11,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.11
624,"GNB","Guinea-Bissau",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.13,-9999,-9999,-9999,-9999,-9999,-9999,0.13
