code,iso,country,source,variable,construct,y1970,y1980,y1989,y1990,y1991,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017
578,NOR,Norway,UNSD,Population connected to wastewater treatment,CXN,,,,0.8,,,0.86,0.86,0.87,0.87,0.9,0.93,0.93,0.941,0.932,0.918,0.935,0.937,0.957,0.962,0.956,0.955,0.965,0.974,0.975,0.977,0.976,0.975,0.989,,
512,OMN,Oman,Pinset,Connection rate,CXN,,,,,,,,,,,,,,,,,,,,,,,,,0.67,,,,,,
586,PAK,Pakistan,GWI,Connection rate,CXN,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,
585,PLW,Palau,EPI,Connection rate,CXN,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,
591,PAN,Panama,UNSD,Population connected to wastewater treatment,CXN,,,,,,,,,,,,,,0.3,0.31,0.33,0.34,0.36,0.46,0.48,0.55,,,,,,,,,,
598,PNG,Papua New Guinea,Pinset,Connection rate,CXN,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,
600,PRY,Paraguay,GWI,Connection rate,CXN,,,,,,,,,,,,,,,,,,,,,,,,,0.147,,,,,,
604,PER,Peru,Pinset,Connection rate,CXN,,,,,,,,,,,,,,,,,,,,,,,,,0.61,,,,,,
608,PHL,Philippines,GWI,Connection rate,CXN,,,,,,,,,,,,,,,,,,,,,,,,,0.041,,,,,,
616,POL,Poland,UNSD,Population connected to wastewater treatment,CXN,,,,,,,,,,,,,,0.536,0.553,0.821,0.837,0.845,0.858,0.87,0.879,0.631,0.888,0.898,0.907,0.938,0.952,0.938,0.942,,
620,PRT,Portugal,UNSD,Population connected to wastewater treatment,CXN,,,,,,,,,,,,,,,,,,,0.79,,,,,,,,,,,,
634,QAT,Qatar,GWI,Connection rate,CXN,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,
642,ROU,Romania,UNSD,Population connected to wastewater treatment,CXN,,,,,,,,,,,,,,,,,,0.278,0.293,0.313,0.318,0.32,0.321,0.341,0.416,0.45,0.462,0.47,0.478,,
643,RUS,Russia,GWI,Connection rate,CXN,,,,,,,,,,,,,,,,,,,,,,,,,0.74,,,,,,
646,RWA,Rwanda,Pinset,Connection rate,CXN,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,
659,KNA,Saint Kitts and Nevis,UNSD,Population connected to wastewater treatment,CXN,,,,,,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,,,,,
682,SAU,Saudi Arabia,UNSD,Population connected to wastewater treatment,CXN,,,,,,,,,,,,,,,,0.33,0.35,0.37,0.38,0.41,0.44,,,0.47,,,,,,,
686,SEN,Senegal,Pinset,Connection rate,CXN,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,
688,SRB,Serbia,UNSD,Population connected to wastewater treatment,CXN,,,,,,,,,,,,,,0.056,0.059,0.063,0.068,0.072,0.079,0.085,0.079,0.08,0.092,0.094,0.097,0.099,0.104,0.112,0.118,,
694,SLE,Sierra Leone,Pinset,Connection rate,CXN,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,
702,SGP,Singapore,UNSD,Population connected to wastewater treatment,CXN,,,,0.975,,,,,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.999,0.999,0.999,0.999,0.999,1,1,1,1,1,1,1,1,,
703,SVK,Slovakia,OECD,Public total treatment (connected to a wastewater treatment plant),CXN,,0.273,,0.431,,,,,,,,,,0.505,,,,,0.552,,,,,0.589,0.6,0.61,0.621,0.637,0.645,0.658,0.672
705,SVN,Slovenia,UNSD,Population connected to wastewater treatment,CXN,,,,,,,,,,,,,,0.714,0.723,0.732,0.748,0.836,0.851,0.865,0.877,0.876,0.886,0.869,0.896,0.904,0.918,0.916,0.928,,
90,SLB,Solomon Islands,EPI,Connection rate,CXN,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,
710,ZAF,South Africa,UNSD,Population connected to wastewater treatment,CXN,,,,,,,,,0.39,0.39,0.41,0.43,0.45,0.46,0.48,0.5,0.5,0.52,0.54,0.55,0.57,,,,0.57,,,,,,
410,KOR,South Korea,UNSD,Population connected to wastewater treatment,CXN,,,,0.329,,,0.413,0.42,0.452,0.526,0.609,0.659,0.684,0.705,0.732,0.758,0.788,0.814,0.835,0.855,0.871,0.886,0.894,0.901,0.909,0.916,0.921,0.918,,,
724,ESP,Spain,UNSD,Population connected to wastewater treatment,CXN,,,,,,,,,,,,,,,,,,,,0.94,,0.94,,0.98,,0.987,,0.984,,,
144,LKA,Sri Lanka,GWI,Connection rate,CXN,,,,,,,,,,,,,,,,,,,,,,,,,0.025,,,,,,
729,SDN,Sudan,Pinset,Connection rate,CXN,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,
740,SUR,Suriname,EPI,Connection rate,CXN,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,
752,SWE,Sweden,UNSD,Population connected to wastewater treatment,CXN,,,,0.86,0.94,0.95,,,0.93,,,,0.99,0.99,0.99,0.99,1,1,1,1,1,1,1,1,1,1,1,1,,,
756,CHE,Switzerland,UNSD,Population connected to wastewater treatment,CXN,,,,,,,,,,,,,,0.982,0.988,0.988,,,0.99,,,,,0.997,,,0.997,,,,
760,SYR,Syria,Pinset,Connection rate,CXN,,,,,,,,,,,,,,,,,,,,,,,,,0.96,,,,,,
158,TWN,Taiwan,EPI,Connection rate,CXN,,,,,,,,,0.032,0.034,0.038,0.051,0.068,0.135,0.154,0.18,0.199,0.224,0.246,0.272,0.3,0.328,0.364,0.4,0.437,,,,,,
762,TJK,Tajikistan,Pinset,Connection rate,CXN,,,,,,,,,,,,,,,,,,,,,,,,,0.45,,,,,,
834,TZA,Tanzania,GWI,Connection rate,CXN,,,,,,,,,,,,,,,,,,,,,,,,,0.18,,,,,,
764,THA,Thailand,Pinset,Connection rate,CXN,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,
626,TLS,Timor-Leste,EPI,Connection rate,CXN,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,
768,TGO,Togo,Pinset,Connection rate,CXN,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
780,TTO,Trinidad and Tobago,UNSD,Population connected to wastewater treatment,CXN,,,,,,,,,,,,,,,0.2,0.2,0.2,0.3,0.2,0.252,0.252,,,,,,,,,0.252,
788,TUN,Tunisia,UNSD,Population connected to wastewater treatment,CXN,,,,0.091,,,,,0.2,,,,0.341,0.367,0.387,0.419,0.449,0.468,0.484,0.512,0.518,0.525,0.535,0.538,,,,,,,
792,TUR,Turkey,UNSD,Population connected to wastewater treatment,CXN,,,,0.068,,,,0.096,0.089,0.104,0.144,0.166,0.226,0.26,0.27,0.27,0.3,0.36,0.421,0.432,0.458,0.462,0.496,0.521,,0.583,0.637,0.64,0.699,0.707,
